Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
15/01/11,Werder Bremen,Hoffenheim,2,1,1,0.3999005375857415
15/01/11,Wolfsburg,Bayern Munich,1,1,1,0.4012416795765673
16/01/11,Ein Frankfurt,Hannover,0,3,0,0.23302765596205038
16/01/11,Kaiserslautern,FC Koln,1,1,1,0.3307040566614116
21/01/11,Hamburg,Ein Frankfurt,1,0,0,0.31881908515914725
22/01/11,Bayern Munich,Kaiserslautern,5,1,1,0.39322786817367184
22/01/11,Dortmund,Stuttgart,1,1,1,0.3657450828272958
22/01/11,FC Koln,Werder Bremen,3,0,0,0.26656888875917717
22/01/11,Freiburg,Nurnberg,1,1,1,0.3919832611467923
22/01/11,Hannover,Schalke 04,0,1,0,0.20183848833977128
22/01/11,Mainz,Wolfsburg,0,1,0,0.3007920942818354
23/01/11,Hoffenheim,St Pauli,2,2,1,0.3845817243009856
23/01/11,M'gladbach,Leverkusen,1,3,1,0.5313718661091975
28/01/11,Leverkusen,Hannover,2,0,0,0.38468017095219414
29/01/11,Kaiserslautern,Mainz,0,1,0,0.24468772919206566
29/01/11,Nurnberg,Hamburg,2,0,0,0.33951997113185756
29/01/11,Schalke 04,Hoffenheim,0,1,0,0.3096433184229588
29/01/11,St Pauli,FC Koln,3,0,0,0.3073746955358264
29/01/11,Werder Bremen,Bayern Munich,1,3,1,0.3692101673727516
29/01/11,Wolfsburg,Dortmund,0,3,0,0.3239921008333181
30/01/11,Ein Frankfurt,M'gladbach,0,1,0,0.26066370443002773
30/01/11,Stuttgart,Freiburg,0,1,0,0.350845679982165
04/02/11,Dortmund,Schalke 04,0,0,0,0.16264026001235798
05/02/11,FC Koln,Bayern Munich,3,2,1,0.3889063296478555
05/02/11,Hannover,Wolfsburg,1,0,0,0.28954218064071213
05/02/11,Hoffenheim,Kaiserslautern,3,2,1,0.48524575987164037
05/02/11,Mainz,Werder Bremen,1,1,1,0.25347525056328646
05/02/11,M'gladbach,Stuttgart,2,3,1,0.5013178588573178
05/02/11,Nurnberg,Leverkusen,1,0,0,0.3872276582476126
06/02/11,Freiburg,Ein Frankfurt,0,0,0,0.2411220533588262
12/02/11,Bayern Munich,Hoffenheim,4,0,0,0.4362741636009843
12/02/11,Ein Frankfurt,Leverkusen,0,3,0,0.26710675233467235
